,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
0,ADA25_DMI25_BND50_P,Y,1.4,0.6,2.0
1,ADA25_DMI25_BTD50_P,Y,0.9,1.1,2.0
2,ADA25_DMT25_BPA50_P,N,1.8,0.2,2.0
3,ADA25_DMT25_DPD50_P,N,1.1,0.9,2.0
4,ADA25_DMT25_HND50_P,Y,1.2,0.8,2.0
5,ADA25_DMT25_PTD50_P,N,1.4,0.6,2.0
6,AZA25_DMI25_DPG50_P,Y,1.3,0.7,2.0
7,AZA25_DMI25_PRD50_P,Y,1.2,0.8,2.0
8,CCD25_DMI25_MRD50_P,Y,1.2,0.8,2.0
9,CCD25_DMT25_GGE50_P,Y,1.8,0.2,2.0
10,CCD25_DMT25_PPD50_P,Y,1.5,0.5,2.0
11,DGA25_DMI25_CHM50_P,Y,1.2,0.8,2.0
12,DGA25_DMI25_GGE50_P,Y,1.8,0.2,2.0
13,DGA25_DMT25_ETG50_P,N,1.7,0.3,2.0
14,DGA25_DMT25_PTD50_P,Y,1.1,0.9,2.0
15,DMI50_BND25_TPD25_P,Y,2.0,1.3,0.7
16,DMI50_BTD25_DCD25_P,Y,2.0,0.8,1.2
17,DMI50_BTD25_DMD25_P,Y,2.0,0.7,1.3
18,DMI50_CHD25_DCD25_P,Y,2.0,0.8,1.2
20,DMI50_DMD25_DPG25_P,Y,2.0,0.7,1.3
24,DMI50_MRD25_DPD25_P,Y,2.0,1.0,1.0
25,DMI50_PTD25_TPG25_P,Y,2.0,1.3,0.7
27,DMT50_BTD25_CHD25_P,N,2.0,0.8,1.2
28,DMT50_CHM25_BPA25_P,N,2.0,0.9,1.1
31,DMT50_DEG25_TEG25_P,Y,2.0,1.4,0.6
32,DMT50_DEG25_TPG25_P,Y,2.0,1.0,1.0
33,DMT50_DPD25_HND25_P,N,2.0,0.9,1.1
34,DMT50_DPD25_OTD25_P,Y,2.0,0.8,1.2
35,DMT50_ETG25_BED25_P,Y,2.0,0.7,1.3
40,DMT50_MRD25_TPD25_P,Y,2.0,1.3,0.7
42,DMT50_PRD25_BED25_P,Y,2.0,0.6,1.4
43,DMT50_PRD25_DPG25_P,Y,2.0,0.8,1.2
47,DMT50_TPG25_BED25_P,Y,2.0,0.3,1.7
49,EBA25_DMI25_HND50_P,Y,1.1,0.9,2.0
50,EBA25_DMT25_TPG50_P,Y,1.2,0.8,2.0
51,GLA25_DMI25_BND50_P,Y,1.2,0.8,2.0
52,GLA25_DMT25_CHD50_P,Y,1.8,0.2,2.0
54,SBA25_DMI25_PTD50_P,Y,1.3,0.7,2.0
55,SBA25_DMT25_BND50_P,Y,1.6,0.4,2.0
56,SBA25_DMT25_CHM50_P,Y,1.5,0.5,2.0
59,SCA25_DMI25_ETG50_P,Y,1.8,0.2,2.0
60,SCA25_DMT25_ETG50_P,Y,1.8,0.2,2.0
61,SUA25_DMI25_MPD50_P,Y,1.3,0.7,2.0
62,SUA25_DMT25_PRD50_P,Y,1.3,0.7,2.0
63,TOA25_DMI25_HND50_P,Y,1.0,1.0,2.0
64,TOA25_DMT25_DPG50_P,Y,1.3,0.7,2.0
6,SCA50_MRD25_BTD25_P,Y,2.0,0.4,1.6
8,DGA50_MRD25_BND25_P,Y,2.0,1.1,0.9
17,CCD50_BTD25_DCD25_P,Y,2.0,0.9,1.1
33,SCA25_GLA25_PRD50_P,Y,0.9,1.1,2.0
39,DGA50_PRD25_GGE25_P,Y,2.0,1.1,0.9
42,GLA50_ETG25_BND25_P,Y,2.0,1.0,1.0
48,AZA50_ETG25_TPG25_P,Y,2.0,0.9,1.1
50,DGA25_SBA25_ETG50_P,Y,0.4,1.6,2.0
56,GLA50_DMD25_HND25_P,Y,2.0,1.0,1.0
58,TOA50_DMD25_DEG25_P,Y,2.0,1.0,1.0
68,EBA50_DMD25_GGE25_P,Y,2.0,0.9,1.1
74,ADA50_PPD25_CHD25_P,Y,2.0,1.0,1.0
81,SCA50_PPD25_TEG25_P,Y,2.0,1.1,0.9
88,TOA50_PPD25_BPA25_P,Y,2.0,1.3,0.7
92,TOA25_EBA25_PPD50_P,Y,1.1,0.9,2.0
95,SCA50_BND25_GGE25_P,Y,2.0,1.0,1.0
97,SBA50_BND25_BPA25_P,Y,2.0,1.2,0.8
101,DGA25_AZA25_BND50_P,Y,1.0,1.0,2.0
102,GLA25_CCD25_BND50_P,Y,1.0,1.0,2.0
103,SUA25_EBA25_BND50_P,Y,1.1,0.9,2.0
106,SCA25_DGA25_BND50_P,Y,0.9,1.1,2.0
109,ADA50_DPG25_CHD25_P,Y,2.0,1.1,0.9
113,SUA50_DPG25_CHM25_P,Y,2.0,0.9,1.1
119,SCA50_TPD25_OTD25_P,Y,2.0,0.9,1.1
127,GLA25_DGA25_TPD50_P,Y,1.0,1.0,2.0
136,CCD50_DPD25_CHD25_P,Y,2.0,1.1,0.9
160,TOA50_HND25_DCD25_P,Y,2.0,1.0,1.0
171,ADA25_SUA25_TPG50_P,Y,1.0,1.0,2.0
173,ADA50_CHM25_CHD25_P,Y,2.0,1.0,1.0
178,SBA50_CHM25_CHD25_P,Y,2.0,1.1,0.9
184,DGA25_TOA25_TEG50_P,Y,1.0,1.0,2.0
186,SBA50_MPD25_OTD25_P,Y,2.0,1.0,1.0
213,EBA50_NND25_GGE25_P,Y,2.0,1.5,0.5
214,SUA25_EBA25_NND50_P,Y,1.1,0.9,2.0
215,SCA25_EBA25_CHD50_P,Y,1.0,1.0,2.0
