,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
7,AZA25_DMI25_PRD50_P,Y,1.2,0.8,2.0
13,DGA25_DMT25_ETG50_P,N,1.7,0.3,2.0
18,DMI50_CHD25_DCD25_P,Y,2.0,0.8,1.2
20,DMI50_DMD25_DPG25_P,Y,2.0,0.7,1.3
21,DMI50_DMD25_MPD25_P,N,2.0,0.8,1.2
24,DMI50_MRD25_DPD25_P,Y,2.0,1.0,1.0
25,DMI50_PTD25_TPG25_P,Y,2.0,1.3,0.7
30,DMT50_DEG25_DCD25_P,N,2.0,0.8,1.2
43,DMT50_PRD25_DPG25_P,Y,2.0,0.8,1.2
45,DMT50_PTD25_GGE25_P,Y,2.0,1.0,1.0
47,DMT50_TPG25_BED25_P,Y,2.0,0.3,1.7
53,SBA25_DMI25_CHM50_P,N,1.2,0.8,2.0
59,SCA25_DMI25_ETG50_P,Y,1.8,0.2,2.0
4,AZA50_MRD25_CHM25_P,Y,2.0,1.9,0.1
9,ADA25_CCD25_MRD50_P,Y,1.0,1.0,2.0
12,DGA50_BTD25_GGE25_P,Y,2.0,1.2,0.8
16,ADA50_BTD25_GGE25_P,Y,2.0,0.9,1.1
18,TOA50_BTD25_PPD25_P,Y,2.0,0.9,1.1
21,SCA50_BTD25_PRD25_P,Y,2.0,0.9,1.1
24,TOA50_BTD25_ETG25_P,Y,2.0,0.9,1.1
25,CCD50_PRD25_BPA25_P,Y,2.0,2.0,0.0
29,DGA50_PRD25_DPD25_P,Y,2.0,0.9,1.1
36,CCD50_PRD25_OTD25_P,Y,2.0,0.7,1.3
38,SUA50_PRD25_GGE25_P,Y,2.0,0.9,1.1
41,SBA50_ETG25_BND25_P,Y,2.0,0.9,1.1
45,ADA50_ETG25_BND25_P,Y,2.0,1.0,1.0
55,ADA50_DMD25_CHM25_P,Y,2.0,0.7,1.3
67,EBA50_DMD25_TEG25_P,Y,2.0,0.9,1.1
72,SCA25_TOA25_DMD50_P,Y,1.0,1.0,2.0
80,CCD50_PPD25_CHD25_P,Y,2.0,1.0,1.0
83,EBA50_PPD25_MPD25_P,Y,2.0,1.0,1.0
86,SCA25_AZA25_PPD50_P,Y,1.0,1.0,2.0
107,SUA50_DPG25_TPG25_P,Y,2.0,1.0,1.0
135,CCD50_DPD25_NND25_P,Y,2.0,1.0,1.0
137,DGA50_DPD25_BED25_P,Y,2.0,1.0,1.0
140,EBA50_PTD25_NND25_P,Y,2.0,1.0,1.0
150,DGA50_DEG25_OTD25_P,Y,2.0,1.0,1.0
179,SBA50_CHM25_MPD25_P,Y,2.0,1.1,0.9
190,ADA50_MPD25_CHD25_P,Y,2.0,1.6,0.4
194,DGA50_NND25_CHD25_P,Y,2.0,1.1,0.9
196,TOA25_AZA25_NND50_P,Y,1.0,1.0,2.0
200,AZA50_BED25_CHD25_P,Y,2.0,1.0,1.0
201,TOA50_BED25_BPA25_P,Y,2.0,1.1,0.9
208,TOA50_CHD25_DCD25_P,Y,2.0,1.0,1.0
209,EBA50_TEG25_MPD25_P,Y,2.0,0.9,1.1
222,DGA25_SUA25_DCD50_P,Y,1.0,1.0,2.0
223,TOA25_SBA25_DCD50_P,Y,1.0,1.0,2.0
228,DGA25_AZA25_OTD50_P,Y,1.0,1.0,2.0
